row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_stdby.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,Unnamed: 23
11,137.9873523953763,0.24709173,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1783128.1,0.0,0.0,0.0,0.0,0.0,
12,199.9882774812783,0.27595425,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4084357.5,0.0,0.0,
13,214.1804583254758,0.28477287,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3543669.8,0.0,0.0,
14,139.98815693170988,0.3101352,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5311328.0,0.0,0.0,
15,181.01485229847077,0.3101352,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704861.8,0.0,0.0,
16,199.02967747085503,0.3101352,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937389.2,0.0,0.0,
17,226.0124350603178,0.3101352,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596160.5,0.0,0.0,
18,190.9933292435128,0.3167329,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1008422.25,0.0,0.0,0.0,0.0,0.0,
19,167.97747587709728,0.33323318,height,,,,,,,,,,,0.0,0.0,0.0,0.0,993089.9,0.0,752755.2,0.0,0.0,0.0,
20,143.0398551564288,0.33424562,height,,,,,,,,,,,0.0,0.0,0.0,4009233.2,3962653.2,0.0,3735984.8,2466147.8,0.0,0.0,
21,158.00318626355892,0.33661497,height,,,,,,,,,,,0.0,0.0,0.0,9455705.0,8654935.0,8277114.5,8981440.0,2340017.2,1187545.6,0.0,
22,139.01817962117292,0.33753377,height,,,,,,,,,,,0.0,12688445.0,0.0,0.0,0.0,0.0,0.0,3744485.8,0.0,0.0,
23,208.03967623919797,0.33753377,height,,,,,,,,,,,0.0,6086058.5,0.0,0.0,0.0,0.0,0.0,5430868.0,0.0,0.0,
24,146.16543724391664,0.34120753,height,,,,,,,,,,,0.0,10578617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,130.00828493530315,0.341865,height,,,,,,,,,,,0.0,0.0,0.0,6653291.5,6166843.0,6197821.0,6477629.0,0.0,0.0,0.0,
26,148.01880692646355,0.34229103,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1972918.8,0.0,0.0,0.0,0.0,0.0,
27,186.98129586634005,0.34231701,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1914902.8,0.0,1944696.4,1814477.1,0.0,0.0,
28,185.98368772256316,0.34713602,height,,,,,,,,,,,0.0,0.0,0.0,5767475.0,8234143.0,8011469.0,8044507.5,6928989.0,0.0,0.0,
29,192.0620452776377,0.34816137,height,,,,,,,,,,,6047466.5,7289448.0,13001429.0,0.0,0.0,0.0,0.0,3922190.2,0.0,0.0,
30,267.9019288272216,0.34988174,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8518432.0,8159819.5,
31,295.8968483816444,0.34988174,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4638154.5,4377837.0,
32,167.0131275794594,0.35118613,height,,,,,,,,,,,84782936.0,220070180.0,79578936.0,0.0,10243143.0,10037718.0,9498447.0,29140552.0,0.0,0.0,
33,125.986566197273,0.3522738,height,,,,,,,,,,,58734300.0,162443490.0,59683936.0,4908256.5,6009772.0,5985157.0,5806851.0,4944750.0,0.0,0.0,
34,137.9876074962359,0.35254112,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720029.7,42935404.0,42800492.0,
35,251.929654647275,0.3527371,height,,,,,,,,,,,1746175.8,2138270.8,0.0,0.0,0.0,1416029.2,0.0,0.0,0.0,0.0,
36,151.03553628230893,0.35573325,height,,,,,,,,,,,245312340.0,352234020.0,568071300.0,5841298.5,26129340.0,28410310.0,21792166.0,22469542.0,1643608.5,3697294.0,
37,145.03554993490084,0.3561282,height,,,,,,,,,,,0.0,0.0,0.0,2390504.2,2490150.2,0.0,2909975.8,0.0,0.0,0.0,
38,232.92887913629104,0.3570366,height,,,,,,,,,,,0.0,16625929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,309.97474481053723,0.35738346,height,,,,,,,,,,,0.0,4150236.5,18834728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,369.9248303279815,0.35738346,height,,,,,,,,,,,0.0,18229130.0,3333322.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,286.9587963375002,0.35773033,height,,,,,,,,,,,0.0,0.0,11086872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,423.955509182503,0.35773033,height,,,,,,,,,,,0.0,0.0,27780910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,439.93315098739663,0.35773033,height,,,,,,,,,,,0.0,0.0,12395145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,235.95224312895388,0.35802504,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3415483.5,0.0,0.0,0.0,
45,123.04068991811184,0.36083674,height,,,,,,,,,,,10167608.0,15611414.0,27106786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,128.01959217646777,0.36083674,height,,,,,,,,,,,18869212.0,28558018.0,46033484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,143.99708898125485,0.36083674,height,,,,,,,,,,,13553096.0,35866468.0,11259201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,216.9509340024699,0.36083674,height,,,,,,,,,,,17474446.0,43719440.0,21463484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,218.9839077961184,0.36083674,height,,,,,,,,,,,16857954.0,22810102.0,51309896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,223.9892129182539,0.36083674,height,,,,,,,,,,,21119108.0,27907970.0,72420050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,239.96681426190855,0.36083674,height,,,,,,,,,,,45158516.0,103024540.0,57138556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,241.99976052404296,0.36083674,height,,,,,,,,,,,50052550.0,62568268.0,154738220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,257.9773503019763,0.36083674,height,,,,,,,,,,,23676122.0,51264360.0,28092518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,265.01584370033964,0.36083674,height,,,,,,,,,,,55762870.0,67972744.0,175944370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,280.9933792899724,0.36083674,height,,,,,,,,,,,28185068.0,59489220.0,33347240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,169.0461243051172,0.36133134,height,,,,,,,,,,,0.0,6625961.5,12164798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,200.9732776949054,0.36133134,height,,,,,,,,,,,0.0,8709877.0,21789024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,234.96164645156352,0.36133134,height,,,,,,,,,,,0.0,17913686.0,8906883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,255.9445478121836,0.36238992,height,,,,,,,,,,,13580248.0,49372228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,288.921227018554,0.36410767,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1153494.4,0.0,0.0,2155070.8,0.0,0.0,
61,127.1233780689821,0.36562818,height,,,,,,,,,,,0.0,0.0,7773228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,259.89399233316306,0.36562848,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45101260.0,48031736.0,
63,300.92051503794795,0.36562848,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82065610.0,79175016.0,
64,305.8994504449845,0.36562848,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81620900.0,86655500.0,
65,359.8184861066485,0.36562848,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80570696.0,78425500.0,
66,505.7490926187359,0.36562848,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58757724.0,53694090.0,
67,128.95096938170605,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35510492.0,33666604.0,
68,139.9633378135551,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61941570.0,62802450.0,
69,159.96924439489874,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164145950.0,165266930.0,
70,180.99001112203203,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136858540.0,138002670.0,
71,246.86201624823636,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63109040.0,65985908.0,
72,264.87287321383616,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80917256.0,87208104.0,
73,285.8934472343934,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95899800.0,96921540.0,
74,287.88862796868057,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746135900.0,748482240.0,
75,326.9200254444106,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98293120.0,102277970.0,
76,328.91516493640006,0.36957115,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799897540.0,810421250.0,
77,141.9587332908647,0.37066376,height,,,,,,,,,,,0.0,21789738.0,0.0,0.0,0.0,0.0,0.0,0.0,1023227840.0,1027153900.0,
78,271.91658672294494,0.37065127,height,,,,,,,,,,,0.0,19959482.0,0.0,0.0,0.0,0.0,0.0,0.0,2301616.0,2780175.2,
79,154.9903787125373,0.37066376,height,,,,,,,,,,,0.0,14930556.0,0.0,0.0,0.0,0.0,0.0,0.0,567884000.0,591842600.0,
80,182.98529054727612,0.37066376,height,,,,,,,,,,,0.0,60194692.0,0.0,0.0,0.0,0.0,0.0,0.0,2218355000.0,2253374700.0,
81,169.97754136232922,0.37329015,height,,,,,,,,,,,0.0,2794531.2,0.0,0.0,0.0,0.0,0.0,0.0,71186216.0,63069064.0,
82,147.11314653526136,0.37355518,height,,,,,,,,,,,0.0,0.0,11712337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,481.7252837108773,0.3774503,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39521668.0,39656840.0,
84,171.99310794904343,0.3785325,height,,,,,,,,,,,0.0,6597695.0,0.0,0.0,0.0,0.0,0.0,0.0,36722796.0,37599180.0,
85,130.96660210873188,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18246628.0,17579610.0,
86,158.96153424643336,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136852750.0,142580000.0,
87,186.956440337828,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18691604.0,18103788.0,
88,276.8967398069426,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89689390.0,90470560.0,
89,304.89164765301,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61021332.0,62588172.0,
90,363.7893617702799,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20509136.0,19274354.0,
91,404.816145773725,0.38138983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59261956.0,57816260.0,
92,148.97727540870503,0.38533252,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6314952.5,6354394.0,
93,176.97215776233156,0.38533252,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12847263.0,12297477.0,
94,156.96630633710947,0.38533667,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8358344.5,7137306.5,
95,199.98801076241,0.38533252,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74666900.0,77339150.0,
96,227.982869244914,0.38533252,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6613764.5,6518611.0,
97,408.7874530007225,0.38533252,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10365674.0,9986366.0,
98,449.81423421626505,0.38533252,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15926766.0,15939998.0,
99,189.16009260264363,0.38739765,height,,,,,,,,,,,14242887.0,22435572.0,64673696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,216.9204216593917,0.39116225,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1608153.2,0.0,0.0,0.0,0.0,
101,244.9151606226297,0.39116225,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1698173.5,0.0,0.0,0.0,0.0,
102,191.16446990434784,0.39489713,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197771.5,0.0,0.0,
103,213.1463986286232,0.39489713,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3171146.5,0.0,0.0,
104,213.0751793618996,0.39671758,height,,,,,,,,,,,0.0,13568971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,225.1963372961055,0.39671758,height,,,,,,,,,,,0.0,76826770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
106,251.0311318298797,0.39671758,height,,,,,,,,,,,0.0,25474430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107,224.01179507347103,0.3987123,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788072.2,31292478.0,31048464.0,
108,202.04769657003075,0.39970136,height,,,,,,,,,,,105232984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,175.11932861374177,0.40065658,height,,,,,,,,,,,2004711.2,76691560.0,19256038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,162.99845593417476,0.40365747,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2585937.8,0.0,0.0,
111,181.01474208334213,0.40365747,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903071.0,0.0,0.0,
112,164.09179460399477,0.40760338,height,,,,,,,,,,,985143000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
113,171.0167834066797,0.40760338,height,,,,,,,,,,,20270778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
114,208.97259808522597,0.40760338,height,,,,,,,,,,,54420508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115,303.8837412086182,0.40916467,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12326063.0,10570355.0,
116,228.19613378008123,0.41240746,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3324954.5,0.0,0.0,
117,146.11692194958366,0.41262996,height,,,,,,,,,,,0.0,11548180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,222.98846355042343,0.41262996,height,,,,,,,,,,,0.0,8322469.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
119,134.045183847038,0.41348618,height,,,,,,,,,,,0.0,0.0,11139060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120,176.0918052993909,0.41405416,height,,,,,,,,,,,1246086800.0,29103748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
121,146.0812822012467,0.41415364,height,,,,,,,,,,,219597340.0,7998523400.0,0.0,0.0,7105058.0,0.0,0.0,1755548.9,0.0,0.0,
122,144.9823356759704,0.414607,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598278.0,2024042.2,0.0,
123,133.0609116150781,0.41549706,height,,,,,,,,,,,32016156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
124,219.0267496911038,0.41699865,height,,,,,,,,,,,0.0,10630640.0,43636030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
125,147.0766972427381,0.41843846,height,,,,,,,,,,,11022341.0,0.0,71120600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
126,184.0735079805052,0.41846138,height,,,,,,,,,,,25167040.0,0.0,5540372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
127,217.9598811598708,0.41896912,height,,,,,,,,,,,0.0,0.0,0.0,2081435.4,1714549.9,1631098.2,1692890.0,0.0,0.0,0.0,
128,130.05007603276644,0.41912937,height,,,,,,,,,,,12524693.0,10788547.0,45826228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129,236.9388534753301,0.4204086,height,,,,,,,,,,,0.0,0.0,0.0,1233635.1,0.0,0.0,1020500.9,0.0,4406753.0,4072165.0,
130,174.1125665606342,0.42051113,height,,,,,,,,,,,0.0,49272650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
131,132.06592230217225,0.4214257,height,,,,,,,,,,,0.0,0.0,7017367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
132,148.06046756418723,0.42177585,height,,,,,,,,,,,41591556.0,25449316.0,62042470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
133,203.052919783747,0.4249756,height,,,,,,,,,,,0.0,0.0,23171752.0,0.0,0.0,6392972.5,4287745.0,0.0,0.0,0.0,
134,138.05506676029287,0.42689547,height,,,,,,,,,,,833512060.0,1127627600.0,3836555800.0,0.0,216568770.0,4867028.5,0.0,87094310.0,0.0,0.0,
135,147.08430162704664,0.42838818,height,,,,,,,,,,,0.0,554658800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
136,168.0632712709433,0.42838818,height,,,,,,,,,,,0.0,32693762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
137,184.03707609044037,0.42838818,height,,,,,,,,,,,0.0,151744130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
138,308.13393183167665,0.42838818,height,,,,,,,,,,,0.0,19790190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
139,280.99555977889,0.42922255,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791996.0,
140,138.13831677872304,0.4293069,height,,,,,,,,,,,0.0,0.0,6593784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
141,689.2117763179236,0.4293069,height,,,,,,,,,,,0.0,0.0,16932250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
142,128.07079208233606,0.42983425,height,,,,,,,,,,,14077760.0,55131600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
143,215.01754625166336,0.42983425,height,,,,,,,,,,,40283580.0,8280990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
144,381.0790984651816,0.43486056,height,,,,,,,,,,,138171300.0,248983680.0,311260600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
145,160.09700284681676,0.4349133,height,,,,,,,,,,,568728600.0,348370180.0,1415505.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
146,156.10215403375108,0.43625686,height,,,,,,,,,,,0.0,13616263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
147,365.1054097268634,0.43624955,height,,,,,,,,,,,113917770.0,107138140.0,99053970.0,0.0,11805379.0,0.0,0.0,3264038.2,0.0,0.0,
148,275.10310691814,0.43672144,height,,,,,,,,,,,0.0,4570776.5,82007520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
149,138.14226146419193,0.437186,height,,,,,,,,,,,0.0,0.0,16309075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
150,289.10300647149336,0.437186,height,,,,,,,,,,,0.0,0.0,127062504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
151,684.2563073510669,0.437186,height,,,,,,,,,,,0.0,0.0,27546522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
152,137.96942939518277,0.43817586,height,,,,,,,,,,,2540614.2,0.0,21361414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
153,192.08666471827692,0.43916568,height,,,,,,,,,,,30726012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
154,177.06183257199638,0.4416477,height,,,,,,,,,,,24258344.0,2221277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
155,162.07622945899092,0.44277707,height,,,,,,,,,,,64328796.0,8005673.0,1340662.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,198.0973041827341,0.44280005,height,,,,,,,,,,,4856380.5,3840622.5,16109997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
157,295.8969312356213,0.4436505,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914834.94,4335358.5,0.0,
158,172.09677741827193,0.4441297,height,,,,,,,,,,,0.0,822782800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
159,275.12363333235794,0.44431102,height,,,,,,,,,,,0.0,0.0,398827040.0,0.0,7529256.5,0.0,0.0,0.0,0.0,0.0,
160,158.08131452579678,0.445581,height,,,,,,,,,,,21948006.0,1987227.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
161,246.0608867206426,0.4460612,height,,,,,,,,,,,33589428.0,0.0,12345779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
162,224.8990668277081,0.44708458,height,,,,,,,,,,,0.0,0.0,0.0,1628354.5,0.0,0.0,0.0,0.0,0.0,0.0,
163,488.1973100686489,0.44705936,height,,,,,,,,,,,17673448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
164,247.9150326916592,0.44708458,height,,,,,,,,,,,0.0,0.0,0.0,1045364.75,0.0,0.0,0.0,0.0,0.0,0.0,
165,519.1779827650918,0.44705936,height,,,,,,,,,,,9764669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
166,204.08676979772997,0.44804582,height,,,,,,,,,,,3891543.0,7703416.5,29337624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
167,543.132422139179,0.4485349,height,,,,,,,,,,,0.0,11531386.0,18039076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
168,136.07580166969592,0.45200676,height,,,,,,,,,,,0.0,53103196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
169,154.08640404611083,0.45200676,height,,,,,,,,,,,0.0,35527540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
170,261.1727029364138,0.45200676,height,,,,,,,,,,,0.0,18005034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
171,360.1498510544824,0.45282453,height,,,,,,,,,,,277438140.0,148171120.0,330437800.0,0.0,9846025.0,4454745.5,0.0,0.0,0.0,0.0,
172,127.0392890905148,0.45312318,height,,,,,,,,,,,18721326.0,9173653.0,22715046.0,0.0,1220500.5,0.0,1032633.44,0.0,0.0,919217.2,
173,343.1235984970924,0.45331037,height,,,,,,,,,,,10381525.0,5428850.0,14372687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
174,387.03976453221645,0.45331037,height,,,,,,,,,,,10313351.0,7160419.5,9213397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
175,325.1129242339514,0.45396218,height,,,,,,,,,,,13796609.0,0.0,20246918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
176,145.0497982859849,0.45593953,height,,,,,,,,,,,13184594.0,5517286.5,17434954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
177,330.13954913238763,0.45641714,height,,,,,,,,,,,0.0,37996184.0,25131664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
178,522.2029220422246,0.45858184,height,,,,,,,,,,,4930764.5,6995869.5,46528028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
179,527.1585483318513,0.45858184,height,,,,,,,,,,,3116071.8,4802329.5,17871340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
