formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	Fatty acids	0.536	Histidine alkaloids	0.121	Halogenated fatty acids	0.744	Organic acids and derivatives	0.731	Carboxylic acids and derivatives	0.583	Carboxylic acid derivatives	0.481	Carboxylic acid amides	0.589	Acetamides	0.544	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Organochlorides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	167.013	21	0.351	707548041356194288	707547788695499180	32	
3	C5H6N2O4S	[M + H3N + H]+	C5H10N3O4S+	Amino acids and Peptides	0.608	Small peptides	0.436	Aminoacids	0.382	Organic acids and derivatives	0.984	Organic sulfonic acids and derivatives	0.804	Organosulfonic acids and derivatives	0.800			Organosulfonic acids and derivatives	0.800	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	208.040	21	0.351	707548054585029774	707547788146045320	23	
2	C3H5Cl2N	[M + H]+	C3H6Cl2N+	Fatty acids	0.510	Fatty acyls	0.109	Halogenated fatty acids	0.556	Organohalogen compounds	0.989	Alkyl halides	0.704	Alkyl chlorides	0.729			Alkyl chlorides	0.729	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	125.987	21	0.352	707548041809179180	707547788733247920	33	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	Amino acids and Peptides	0.193	Pseudoalkaloids (transamidation)	0.119	Aminoacids	0.104	Organic acids and derivatives	0.923	Organic phosphonic acids and derivatives	0.762	Organic phosphonic acids	0.598			Organic phosphonic acids	0.598	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.988	21	0.353	707548068736612402	707547788770996660	34	
2	C5H6N2O5	[M + H3N + H]+	C5H10N3O5+	Amino acids and Peptides	0.819	Small peptides	0.820	Aminoacids	0.653	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.465	Amino acids and derivatives	0.464	Alpha amino acids and derivatives	0.553	Organic compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	192.062	21	0.353	707548044636140272	707547788552892832	29	
1	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	Alkaloids	0.697	Histidine alkaloids	0.200	Imidazole alkaloids	0.198	Organoheterocyclic compounds	0.970	Azoles	0.755					Azoles	0.755	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	151.036	21	0.356	707548043860193952	707547788846494140	36	
2	C4H3Cl3N2O3	[M + H]+	C4H4Cl3N2O3+	Amino acids and Peptides	0.175	Histidine alkaloids	0.116	Halogenated fatty acids	0.463	Organohalogen compounds	0.996	Vinyl halides	0.661	Vinylogous halides	0.524			Vinylogous halides	0.524	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Vinyl halides; Vinylogous halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	232.929	21	0.357	707548052009727039	707547788917797316	38	
1	C19H9Cl2NO4	[M + K]+	C19H9Cl2KNO4+	Polyketides	0.859	Chromanes	0.431	Chromones	0.620	Organoheterocyclic compounds	0.991	Benzopyrans	0.888	1-benzopyrans	0.894	Chromones	0.845	Chromones	0.845	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyrans; Benzopyrans; Chromones; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Pyranones and derivatives; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; 1-benzopyrans; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	423.956	21	0.358	707548078198963037	707547789060403668	42	
1	C16H8BrN3O4S	[M + Na]+	C16H8BrN3NaO4S+	Alkaloids	0.162	Coumarins	0.298	Simple coumarins	0.215	Organohalogen compounds	1.000	Aryl halides	0.997	Aryl bromides	0.998			Aryl bromides	0.998	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl bromides; Organobromides; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	439.933	21	0.358	707548126303439286	707547789093958104	43	
1	C5H3BFNO	[M + H]+	C5H4BFNO+	Alkaloids	0.564	Nicotinic acid alkaloids	0.144	Pyridine alkaloids	0.146	Organohalogen compounds	0.723	Aryl halides	0.674	Aryl fluorides	0.820			Aryl fluorides	0.820	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Aryl fluorides; Organometalloid compounds; Organofluorides; Organoboron compounds; Aryl halides; Organic salts; Organic metalloid salts; Organic metal salts; Heteroaromatic compounds; Hydrocarbon derivatives; Alkylhaloboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	123.041	22	0.361	707548040961929639	707547789161066976	45	
1	C3H7Cl2NO	[M + H]+	C3H8Cl2NO+	Fatty acids	0.895	Fatty Acids and Conjugates	0.163	Halogenated fatty acids	0.932	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.993	Carboxylic acid derivatives	0.988	Carboxylic acid amides	0.982	Secondary carboxylic acid amides	0.936	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	143.997	22	0.361	707548041280696793	707547789249147368	47	
2	C4H8N2O4S	[M + K]+	C4H8KN2O4S+	Amino acids and Peptides	0.982	Small peptides	0.967	Aminoacids	0.948	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.980	Amino acids, peptides, and analogues	0.898	Amino acids and derivatives	0.897	Alpha amino acids and derivatives	0.864	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	218.984	22	0.361	707548059358147986	707547789320450544	49	
1	C7H4ClNO5	[M + Na]+	C7H4ClNNaO5+	Polyketides	0.402	β-lactams	0.037	Halogenated fatty acids	0.070	Organohalogen compounds	0.998	Aryl halides	0.764	Aryl chlorides	0.818			Aryl chlorides	0.818	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.967	22	0.361	707548074780604983	707547789391753720	51	
2	C6H9N3O3S	[M + K]+	C6H9KN3O3S+	Amino acids and Peptides	0.744	Histidine alkaloids	0.359	Imidazole alkaloids	0.364	Organoheterocyclic compounds	0.976	Azoles	0.745					Azoles	0.745	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	242.000	22	0.361	707548076877757184	707547789429502460	52	
1	C8H5ClFNO2	[M + Na]+	C8H5ClFNNaO2+	Alkaloids	0.763	Nicotinic acid alkaloids	0.239	Pyridine alkaloids	0.238	Benzenoids	0.951	Benzene and substituted derivatives	0.892	Halobenzenes	0.945	Chlorobenzenes	0.801	Chlorobenzenes	0.801	Organic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Nitriles; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Organochlorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic cyanides; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223.989	22	0.361	707548088290459348	707547789358199284	50	
1	C6H4ClFO3	[M + Na]+	C6H4ClFNaO3+	Polyketides	0.484	Fatty Acids and Conjugates	0.157	Halogenated fatty acids	0.319	Benzenoids	0.770	Benzene and substituted derivatives	0.754	Halobenzenes	0.903	Chlorobenzenes	0.769	Chlorobenzenes	0.769	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	200.973	22	0.361	707548066324887469	707547789597274640	57	
2	C6H4Cl3N3O2	[M + H]+	C6H5Cl3N3O2+	Alkaloids	0.639	Pseudoalkaloids (transamidation)	0.572	Purine alkaloids	0.787	Organoheterocyclic compounds	0.999	Diazines	0.822	Pyrimidines and pyrimidine derivatives	0.741	Halopyrimidines	0.681	Halopyrimidines	0.681	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Halopyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255.945	22	0.362	707548059739829698	707547789664383512	59	
1	C8H7ClFNO2S	[M + Na]+	C8H7ClFNNaO2S+	Alkaloids	0.422	Small peptides	0.201	Aminoacids	0.127	Benzenoids	0.995	Benzene and substituted derivatives	0.981	Benzoic acids and derivatives	0.731	Halobenzoic acids and derivatives	0.848	2-halobenzoic acids and derivatives	0.565	Organic compounds; Organosulfur compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Carboxylic acids; Organochlorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; Halobenzoic acids and derivatives; Halobenzoic acids; 2-halobenzoic acids and derivatives; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257.977	22	0.363	707548088424677092	707547789463056896	53	
2	C7H16N2O	[M - H2O + H]+	C7H15N2+	Alkaloids	0.610	Pseudoalkaloids (transamidation)	0.064	Pyrrolizidine alkaloids	0.012	Organoheterocyclic compounds	0.829	Diazinanes	0.774	Piperazines	0.800	N-alkylpiperazines	0.749	N-alkylpiperazines	0.749	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperazines; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Diazinanes; Amines; Secondary amines; Tertiary amines; Alkanolamines; N-alkylpiperazines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	127.123	22	0.366	707548042081808993	707547789739880992	61	
1	C7H7AsN2O6	[M + K]+	C7H7AsKN2O6+	Alkaloids	0.134	Small peptides	0.057	Aminoacids	0.051	Organometallic compounds	0.997	Organometalloid compounds	0.997	Organoarsenic compounds	0.996	Pentavalent organic arsenic compounds	0.558	Pentaorganoarsanes	0.558	Organic compounds; Organoheterocyclic compounds; Pyrazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organoarsenic compounds; Azoles; Organometallic compounds; Carboxylic acids; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	328.915	22	0.370	707548061958616614	707547790259974748	76	
