row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak height,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak height,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak height,20250402_PMA_tp24_dbgi_mapp_stdby.mzML Peak height,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak height,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak height,
25,130.00828493530315,0.341865,,,,,,,,,,,0,0,0,6653291.5,6166843.0,6197821.0,6477629.0,0,0,0,
26,148.01880692646355,0.34229103,,,,,,,,,,,0,0,0,0,1972918.8,0,0,0,0,0,
27,186.98129586634005,0.34231701,,,,,,,,,,,0,0,0,0,1914902.8,0,1944696.4,1814477.1,0,0,
28,185.98368772256313,0.34713602,,,,,,,,,,,0,0,0,5767475.0,8234143.0,8011469.0,8044507.5,6928989.0,0,0,
29,192.06204527763774,0.34816137,,,,,,,,,,,6047466.5,7289448.0,1.3001429E7,0,0,0,0,3922190.2,0,0,
30,267.9019288272216,0.34988174,,,,,,,,,,,0,0,0,0,0,0,0,0,8518432.0,8159819.5,
31,295.8968483816444,0.34988174,,,,,,,,,,,0,0,0,0,0,0,0,0,4638154.5,4377837.0,
32,167.0131275794594,0.35118613,,,,,,,,,,,8.4782936E7,2.2007018E8,7.9578936E7,0,1.0243143E7,1.0037718E7,9498447.0,2.9140552E7,0,0,
33,125.986566197273,0.3522738,,,,,,,,,,,5.87343E7,1.6244349E8,5.9683936E7,4908256.5,6009772.0,5985157.0,5806851.0,4944750.0,0,0,
34,137.9876074962359,0.35254112,,,,,,,,,,,0,0,0,0,0,0,0,720029.7,4.2935404E7,4.2800492E7,
35,251.929654647275,0.3527371,,,,,,,,,,,1746175.8,2138270.8,0,0,0,1416029.2,0,0,0,0,
36,151.03553628230893,0.35573325,,,,,,,,,,,2.4531234E8,3.5223402E8,5.680713E8,5841298.5,2.612934E7,2.841031E7,2.1792166E7,2.2469542E7,1643608.5,3697294.0,
37,145.03554993490084,0.3561282,,,,,,,,,,,0,0,0,2390504.2,2490150.2,0,2909975.8,0,0,0,
38,232.92887913629104,0.3570366,,,,,,,,,,,0,1.6625929E7,0,0,0,0,0,0,0,0,
39,309.97474481053723,0.35738346,,,,,,,,,,,0,4150236.5,1.8834728E7,0,0,0,0,0,0,0,
40,369.92483032798145,0.35738346,,,,,,,,,,,0,1.822913E7,3333322.8,0,0,0,0,0,0,0,
41,286.9587963375002,0.35773033,,,,,,,,,,,0,0,1.1086872E7,0,0,0,0,0,0,0,
42,423.955509182503,0.35773033,,,,,,,,,,,0,0,2.778091E7,0,0,0,0,0,0,0,
43,439.93315098739663,0.35773033,,,,,,,,,,,0,0,1.2395145E7,0,0,0,0,0,0,0,
44,235.95224312895388,0.35802504,,,,,,,,,,,0,0,0,0,0,0,3415483.5,0,0,0,
45,123.04068991811185,0.36083674,,,,,,,,,,,1.0167608E7,1.5611414E7,2.7106786E7,0,0,0,0,0,0,0,
46,128.01959217646777,0.36083674,,,,,,,,,,,1.8869212E7,2.8558018E7,4.6033484E7,0,0,0,0,0,0,0,
47,143.99708898125485,0.36083674,,,,,,,,,,,1.3553096E7,3.5866468E7,1.1259201E7,0,0,0,0,0,0,0,
48,216.9509340024699,0.36083674,,,,,,,,,,,1.7474446E7,4.371944E7,2.1463484E7,0,0,0,0,0,0,0,
49,218.98390779611836,0.36083674,,,,,,,,,,,1.6857954E7,2.2810102E7,5.1309896E7,0,0,0,0,0,0,0,
50,223.9892129182539,0.36083674,,,,,,,,,,,2.1119108E7,2.790797E7,7.242005E7,0,0,0,0,0,0,0,
51,239.96681426190858,0.36083674,,,,,,,,,,,4.5158516E7,1.0302454E8,5.7138556E7,0,0,0,0,0,0,0,
52,241.99976052404296,0.36083674,,,,,,,,,,,5.005255E7,6.2568268E7,1.5473822E8,0,0,0,0,0,0,0,
53,257.9773503019763,0.36083674,,,,,,,,,,,2.3676122E7,5.126436E7,2.8092518E7,0,0,0,0,0,0,0,
54,265.01584370033964,0.36083674,,,,,,,,,,,5.576287E7,6.7972744E7,1.7594437E8,0,0,0,0,0,0,0,
55,280.9933792899724,0.36083674,,,,,,,,,,,2.8185068E7,5.948922E7,3.334724E7,0,0,0,0,0,0,0,
56,169.0461243051172,0.36133134,,,,,,,,,,,0,6625961.5,1.2164798E7,0,0,0,0,0,0,0,
57,200.9732776949054,0.36133134,,,,,,,,,,,0,8709877.0,2.1789024E7,0,0,0,0,0,0,0,
58,234.96164645156352,0.36133134,,,,,,,,,,,0,1.7913686E7,8906883.0,0,0,0,0,0,0,0,
59,255.94454781218357,0.36238992,,,,,,,,,,,1.3580248E7,4.9372228E7,0,0,0,0,0,0,0,0,
60,288.921227018554,0.36410767,,,,,,,,,,,0,0,0,0,1153494.4,0,0,2155070.8,0,0,
61,127.1233780689821,0.36562818,,,,,,,,,,,0,0,7773228.0,0,0,0,0,0,0,0,
62,259.89399233316306,0.36562848,,,,,,,,,,,0,0,0,0,0,0,0,0,4.510126E7,4.8031736E7,
63,300.92051503794795,0.36562848,,,,,,,,,,,0,0,0,0,0,0,0,0,8.206561E7,7.9175016E7,
64,305.8994504449845,0.36562848,,,,,,,,,,,0,0,0,0,0,0,0,0,8.16209E7,8.66555E7,
65,359.81848610664855,0.36562848,,,,,,,,,,,0,0,0,0,0,0,0,0,8.0570696E7,7.84255E7,
66,505.74909261873586,0.36562848,,,,,,,,,,,0,0,0,0,0,0,0,0,5.8757724E7,5.369409E7,
67,128.95096938170605,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,3.5510492E7,3.3666604E7,
68,139.9633378135551,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,6.194157E7,6.280245E7,
69,159.96924439489874,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,1.6414595E8,1.6526693E8,
70,180.99001112203203,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,1.3685854E8,1.3800267E8,
71,246.86201624823633,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,6.310904E7,6.5985908E7,
72,264.87287321383616,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,8.0917256E7,8.7208104E7,
73,285.8934472343934,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,9.58998E7,9.692154E7,
74,287.88862796868057,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,7.461359E8,7.4848224E8,
75,326.9200254444106,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,9.829312E7,1.0227797E8,
76,328.91516493640006,0.36957115,,,,,,,,,,,0,0,0,0,0,0,0,0,7.9989754E8,8.1042125E8,
77,141.9587332908647,0.37066376,,,,,,,,,,,0,2.1789738E7,0,0,0,0,0,0,1.02322784E9,1.0271539E9,
78,271.91658672294494,0.37065127,,,,,,,,,,,0,1.9959482E7,0,0,0,0,0,0,2301616.0,2780175.2,
79,154.9903787125373,0.37066376,,,,,,,,,,,0,1.4930556E7,0,0,0,0,0,0,5.67884E8,5.918426E8,
80,182.98529054727615,0.37066376,,,,,,,,,,,0,6.0194692E7,0,0,0,0,0,0,2.218355E9,2.2533747E9,
81,169.97754136232922,0.37329015,,,,,,,,,,,0,2794531.2,0,0,0,0,0,0,7.1186216E7,6.3069064E7,
82,147.11314653526136,0.37355518,,,,,,,,,,,0,0,1.1712337E7,0,0,0,0,0,0,0,
83,481.7252837108773,0.3774503,,,,,,,,,,,0,0,0,0,0,0,0,0,3.9521668E7,3.965684E7,
84,171.99310794904343,0.3785325,,,,,,,,,,,0,6597695.0,0,0,0,0,0,0,3.6722796E7,3.759918E7,
85,130.96660210873188,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,1.8246628E7,1.757961E7,
86,158.96153424643336,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,1.3685275E8,1.4258E8,
87,186.956440337828,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,1.8691604E7,1.8103788E7,
88,276.8967398069426,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,8.968939E7,9.047056E7,
89,304.89164765301,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,6.1021332E7,6.2588172E7,
90,363.7893617702799,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,2.0509136E7,1.9274354E7,
91,404.816145773725,0.38138983,,,,,,,,,,,0,0,0,0,0,0,0,0,5.9261956E7,5.781626E7,
92,148.97727540870505,0.38533252,,,,,,,,,,,0,0,0,0,0,0,0,0,6314952.5,6354394.0,
93,176.97215776233156,0.38533252,,,,,,,,,,,0,0,0,0,0,0,0,0,1.2847263E7,1.2297477E7,
94,156.96630633710947,0.38533667,,,,,,,,,,,0,0,0,0,0,0,0,0,8358344.5,7137306.5,
95,199.98801076241,0.38533252,,,,,,,,,,,0,0,0,0,0,0,0,0,7.46669E7,7.733915E7,
96,227.982869244914,0.38533252,,,,,,,,,,,0,0,0,0,0,0,0,0,6613764.5,6518611.0,
97,408.7874530007225,0.38533252,,,,,,,,,,,0,0,0,0,0,0,0,0,1.0365674E7,9986366.0,
98,449.81423421626505,0.38533252,,,,,,,,,,,0,0,0,0,0,0,0,0,1.5926766E7,1.5939998E7,
99,189.16009260264363,0.38739765,,,,,,,,,,,1.4242887E7,2.2435572E7,6.4673696E7,0,0,0,0,0,0,0,
100,216.9204216593917,0.39116225,,,,,,,,,,,0,0,0,0,0,1608153.2,0,0,0,0,
101,244.9151606226297,0.39116225,,,,,,,,,,,0,0,0,0,0,1698173.5,0,0,0,0,
102,191.16446990434784,0.39489713,,,,,,,,,,,0,0,0,0,0,0,0,2197771.5,0,0,
103,213.14639862862322,0.39489713,,,,,,,,,,,0,0,0,0,0,0,0,3171146.5,0,0,
104,213.07517936189956,0.39671758,,,,,,,,,,,0,1.3568971E7,0,0,0,0,0,0,0,0,
105,225.1963372961055,0.39671758,,,,,,,,,,,0,7.682677E7,0,0,0,0,0,0,0,0,
106,251.0311318298797,0.39671758,,,,,,,,,,,0,2.547443E7,0,0,0,0,0,0,0,0,
107,224.01179507347106,0.3987123,,,,,,,,,,,0,0,0,0,0,0,0,788072.2,3.1292478E7,3.1048464E7,
108,202.04769657003075,0.39970136,,,,,,,,,,,1.05232984E8,0,0,0,0,0,0,0,0,0,
109,175.11932861374177,0.40065658,,,,,,,,,,,2004711.2,7.669156E7,1.9256038E7,0,0,0,0,0,0,0,
110,162.99845593417476,0.40365747,,,,,,,,,,,0,0,0,0,0,0,0,2585937.8,0,0,
111,181.01474208334213,0.40365747,,,,,,,,,,,0,0,0,0,0,0,0,903071.0,0,0,
112,164.09179460399477,0.40760338,,,,,,,,,,,9.85143E8,0,0,0,0,0,0,0,0,0,
113,171.0167834066797,0.40760338,,,,,,,,,,,2.0270778E7,0,0,0,0,0,0,0,0,0,
114,208.97259808522594,0.40760338,,,,,,,,,,,5.4420508E7,0,0,0,0,0,0,0,0,0,
115,303.8837412086182,0.40916467,,,,,,,,,,,0,0,0,0,0,0,0,0,1.2326063E7,1.0570355E7,
116,228.19613378008123,0.41240746,,,,,,,,,,,0,0,0,0,0,0,0,3324954.5,0,0,
117,146.11692194958366,0.41262996,,,,,,,,,,,0,1.154818E7,0,0,0,0,0,0,0,0,
118,222.98846355042346,0.41262996,,,,,,,,,,,0,8322469.5,0,0,0,0,0,0,0,0,
119,134.045183847038,0.41348618,,,,,,,,,,,0,0,1.113906E7,0,0,0,0,0,0,0,
120,176.0918052993909,0.41405416,,,,,,,,,,,1.2460868E9,2.9103748E7,0,0,0,0,0,0,0,0,
121,146.08128220124667,0.41415364,,,,,,,,,,,2.1959734E8,7.9985234E9,0,0,7105058.0,0,0,1755548.9,0,0,
122,144.9823356759704,0.414607,,,,,,,,,,,0,0,0,0,0,0,0,1598278.0,2024042.2,0,
123,133.0609116150781,0.41549706,,,,,,,,,,,3.2016156E7,0,0,0,0,0,0,0,0,0,
124,219.0267496911038,0.41699865,,,,,,,,,,,0,1.063064E7,4.363603E7,0,0,0,0,0,0,0,
125,147.0766972427381,0.41843846,,,,,,,,,,,1.1022341E7,0,7.11206E7,0,0,0,0,0,0,0,
126,184.0735079805052,0.41846138,,,,,,,,,,,2.516704E7,0,5540372.0,0,0,0,0,0,0,0,
127,217.9598811598708,0.41896912,,,,,,,,,,,0,0,0,2081435.4,1714549.9,1631098.2,1692890.0,0,0,0,
128,130.05007603276644,0.41912937,,,,,,,,,,,1.2524693E7,1.0788547E7,4.5826228E7,0,0,0,0,0,0,0,
129,236.93885347533006,0.4204086,,,,,,,,,,,0,0,0,1233635.1,0,0,1020500.9,0,4406753.0,4072165.0,
130,174.1125665606342,0.42051113,,,,,,,,,,,0,4.927265E7,0,0,0,0,0,0,0,0,
131,132.06592230217223,0.4214257,,,,,,,,,,,0,0,7017367.0,0,0,0,0,0,0,0,
132,148.06046756418723,0.42177585,,,,,,,,,,,4.1591556E7,2.5449316E7,6.204247E7,0,0,0,0,0,0,0,
133,203.052919783747,0.4249756,,,,,,,,,,,0,0,2.3171752E7,0,0,6392972.5,4287745.0,0,0,0,
134,138.05506676029287,0.42689547,,,,,,,,,,,8.3351206E8,1.1276276E9,3.8365558E9,0,2.1656877E8,4867028.5,0,8.709431E7,0,0,
135,147.08430162704664,0.42838818,,,,,,,,,,,0,5.546588E8,0,0,0,0,0,0,0,0,
136,168.0632712709433,0.42838818,,,,,,,,,,,0,3.2693762E7,0,0,0,0,0,0,0,0,
137,184.03707609044034,0.42838818,,,,,,,,,,,0,1.5174413E8,0,0,0,0,0,0,0,0,
138,308.13393183167665,0.42838818,,,,,,,,,,,0,1.979019E7,0,0,0,0,0,0,0,0,
139,280.99555977888997,0.42922255,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2791996.0,
140,138.13831677872304,0.4293069,,,,,,,,,,,0,0,6593784.0,0,0,0,0,0,0,0,
141,689.2117763179236,0.4293069,,,,,,,,,,,0,0,1.693225E7,0,0,0,0,0,0,0,
142,128.07079208233606,0.42983425,,,,,,,,,,,1.407776E7,5.51316E7,0,0,0,0,0,0,0,0,
143,215.01754625166336,0.42983425,,,,,,,,,,,4.028358E7,8280990.0,0,0,0,0,0,0,0,0,
144,381.07909846518163,0.43486056,,,,,,,,,,,1.381713E8,2.4898368E8,3.112606E8,0,0,0,0,0,0,0,
145,160.09700284681676,0.4349133,,,,,,,,,,,5.687286E8,3.4837018E8,1415505.5,0,0,0,0,0,0,0,
146,156.10215403375108,0.43625686,,,,,,,,,,,0,1.3616263E7,0,0,0,0,0,0,0,0,
147,365.1054097268634,0.43624955,,,,,,,,,,,1.1391777E8,1.0713814E8,9.905397E7,0,1.1805379E7,0,0,3264038.2,0,0,
148,275.10310691813993,0.43672144,,,,,,,,,,,0,4570776.5,8.200752E7,0,0,0,0,0,0,0,
149,138.14226146419193,0.437186,,,,,,,,,,,0,0,1.6309075E7,0,0,0,0,0,0,0,
150,289.10300647149336,0.437186,,,,,,,,,,,0,0,1.27062504E8,0,0,0,0,0,0,0,
151,684.2563073510669,0.437186,,,,,,,,,,,0,0,2.7546522E7,0,0,0,0,0,0,0,
152,137.96942939518277,0.43817586,,,,,,,,,,,2540614.2,0,2.1361414E7,0,0,0,0,0,0,0,
153,192.08666471827695,0.43916568,,,,,,,,,,,3.0726012E7,0,0,0,0,0,0,0,0,0,
154,177.06183257199638,0.4416477,,,,,,,,,,,2.4258344E7,2221277.0,0,0,0,0,0,0,0,0,
155,162.07622945899092,0.44277707,,,,,,,,,,,6.4328796E7,8005673.0,1340662.2,0,0,0,0,0,0,0,
156,198.09730418273406,0.44280005,,,,,,,,,,,4856380.5,3840622.5,1.6109997E7,0,0,0,0,0,0,0,
157,295.8969312356213,0.4436505,,,,,,,,,,,0,0,0,0,0,0,0,914834.94,4335358.5,0,
158,172.09677741827193,0.4441297,,,,,,,,,,,0,8.227828E8,0,0,0,0,0,0,0,0,
159,275.12363333235794,0.44431102,,,,,,,,,,,0,0,3.9882704E8,0,7529256.5,0,0,0,0,0,
160,158.08131452579678,0.445581,,,,,,,,,,,2.1948006E7,1987227.2,0,0,0,0,0,0,0,0,
161,246.0608867206426,0.4460612,,,,,,,,,,,3.3589428E7,0,1.2345779E7,0,0,0,0,0,0,0,
162,224.8990668277081,0.44708458,,,,,,,,,,,0,0,0,1628354.5,0,0,0,0,0,0,
163,488.1973100686489,0.44705936,,,,,,,,,,,1.7673448E7,0,0,0,0,0,0,0,0,0,
164,247.91503269165918,0.44708458,,,,,,,,,,,0,0,0,1045364.75,0,0,0,0,0,0,
165,519.1779827650918,0.44705936,,,,,,,,,,,9764669.0,0,0,0,0,0,0,0,0,0,
166,204.08676979772994,0.44804582,,,,,,,,,,,3891543.0,7703416.5,2.9337624E7,0,0,0,0,0,0,0,
167,543.132422139179,0.4485349,,,,,,,,,,,0,1.1531386E7,1.8039076E7,0,0,0,0,0,0,0,
168,136.07580166969592,0.45200676,,,,,,,,,,,0,5.3103196E7,0,0,0,0,0,0,0,0,
169,154.08640404611083,0.45200676,,,,,,,,,,,0,3.552754E7,0,0,0,0,0,0,0,0,
170,261.1727029364138,0.45200676,,,,,,,,,,,0,1.8005034E7,0,0,0,0,0,0,0,0,
171,360.1498510544824,0.45282453,,,,,,,,,,,2.7743814E8,1.4817112E8,3.304378E8,0,9846025.0,4454745.5,0,0,0,0,
172,127.0392890905148,0.45312318,,,,,,,,,,,1.8721326E7,9173653.0,2.2715046E7,0,1220500.5,0,1032633.44,0,0,919217.2,
173,343.12359849709236,0.45331037,,,,,,,,,,,1.0381525E7,5428850.0,1.4372687E7,0,0,0,0,0,0,0,
174,387.03976453221645,0.45331037,,,,,,,,,,,1.0313351E7,7160419.5,9213397.0,0,0,0,0,0,0,0,
175,325.1129242339514,0.45396218,,,,,,,,,,,1.3796609E7,0,2.0246918E7,0,0,0,0,0,0,0,
176,145.04979828598493,0.45593953,,,,,,,,,,,1.3184594E7,5517286.5,1.7434954E7,0,0,0,0,0,0,0,
177,330.13954913238763,0.45641714,,,,,,,,,,,0,3.7996184E7,2.5131664E7,0,0,0,0,0,0,0,
178,522.2029220422246,0.45858184,,,,,,,,,,,4930764.5,6995869.5,4.6528028E7,0,0,0,0,0,0,0,
179,527.1585483318513,0.45858184,,,,,,,,,,,3116071.8,4802329.5,1.787134E7,0,0,0,0,0,0,0,
180,139.98244236153752,0.46404377,,,,,,,,,,,0,0,0,0,0,0,0,2782775.0,1.1471E7,1.3493681E7,
181,175.10796667618723,0.46533293,,,,,,,,,,,1.5310268E7,1.5770363E7,0,0,0,0,0,0,0,0,
182,158.11771209004425,0.46777123,,,,,,,,,,,0,6.844303E7,0,0,0,0,0,0,0,0,
183,160.13325680968669,0.46777123,,,,,,,,,,,0,2.2577918E7,0,0,0,0,0,0,0,0,
184,184.0970876004996,0.46777123,,,,,,,,,,,0,1.0906856E7,0,0,0,0,0,0,0,0,
185,186.11259998255528,0.46777123,,,,,,,,,,,0,7.478418E7,0,0,0,0,0,0,0,0,
186,200.12804698361728,0.46777123,,,,,,,,,,,0,1.8912984E9,0,0,0,0,0,0,0,0,
187,202.10736381669892,0.46777123,,,,,,,,,,,0,1.8684398E7,0,0,0,0,0,0,0,0,
188,216.12321753354533,0.46777123,,,,,,,,,,,0,1.8756142E7,0,0,0,0,0,0,0,0,
189,173.09259504245534,0.4682681,,,,,,,,,,,0,4734704.0,2.934422E7,0,0,0,0,0,0,0,
190,236.14939620824924,0.4682681,,,,,,,,,,,0,3693132.0,2.1604636E7,0,0,0,0,0,0,0,
191,136.06205358966375,0.46876496,,,,,,,,,,,0,0,1.614745E8,0,0,0,0,0,0,0,
192,209.1021705991879,0.46876496,,,,,,,,,,,0,0,1.9941365E8,0,0,0,0,0,0,0,
193,226.12868146349095,0.46876496,,,,,,,,,,,0,0,2.737904E8,0,0,0,0,0,0,0,
194,344.1553458399223,0.46876496,,,,,,,,,,,0,0,2.13433E7,0,0,0,0,0,0,0,
195,144.10212643907292,0.46914148,,,,,,,,,,,8.514435E7,1.1925942E8,3.089079E7,0,0,0,0,0,0,0,
196,130.08648485605636,0.4691526,,,,,,,,,,,1.6174571E8,6.39963E7,6175968.0,0,0,0,0,0,0,0,
197,142.08648848664996,0.4708321,,,,,,,,,,,1.0644847E8,0,0,0,0,0,0,0,0,0,
198,256.0815574640998,0.4708321,,,,,,,,,,,1.0350789E7,0,0,0,0,0,0,0,0,0,
199,340.12388742810714,0.47324646,,,,,,,,,,,1.0015378E7,1.1878549E7,0,0,0,0,0,0,0,0,
200,128.1072291080138,0.47566077,,,,,,,,,,,0,1.5126007E7,0,0,0,0,0,0,0,0,
201,231.08415382315889,0.47668362,,,,,,,,,,,0,0,7.890531E7,0,0,0,0,0,0,0,
202,439.17915693372566,0.47668362,,,,,,,,,,,0,0,2.5613348E7,0,0,0,0,0,0,0,
203,257.8937771180882,0.4784454,,,,,,,,,,,0,0,0,0,0,0,0,0,1933925.8,2008137.0,
204,215.13915276888957,0.47879872,,,,,,,,,,,4707149.0,0,0,0,0,0,0,0,0,0,
205,144.13837190376597,0.48115262,,,,,,,,,,,3491097.5,1.614935E8,0,0,0,0,0,0,0,0,
206,137.98769498035892,0.48202354,,,,,,,,,,,0,0,0,0,0,0,0,2109689.2,0,0,
207,162.99843001770262,0.48202354,,,,,,,,,,,0,0,0,0,0,0,0,2278573.2,0,0,
208,267.9019591252926,0.48202354,,,,,,,,,,,0,0,0,0,0,0,0,1329096.1,0,0,
209,298.9203811148982,0.48202354,,,,,,,,,,,0,0,0,0,0,0,0,1173366.9,0,0,
210,142.12282157672385,0.48355862,,,,,,,,,,,0,3.9188054E8,0,0,0,0,0,0,0,0,
211,168.10203933928975,0.48355862,,,,,,,,,,,0,4.0520536E7,0,0,0,0,0,0,0,0,
212,284.9046228309404,0.48363808,,,,,,,,,,,0,0,0,0,0,0,0,983527.1,2588506.0,2305859.5,
213,271.90851927968515,0.48666096,,,,,,,,,,,0,0,0,0,0,0,0,0,2358383.5,2308452.0,
214,290.912564827506,0.48666096,,,,,,,,,,,0,0,0,0,0,0,0,0,1643282.1,1409571.6,
215,321.9617508362371,0.48913383,,,,,,,,,,,1420801.2,1.3396306E7,0,0,0,0,0,0,0,0,
216,229.15490591733214,0.4903164,,,,,,,,,,,1951395.2,4920214.0,1.2217136E7,0,0,0,0,0,0,0,
217,279.92435615508555,0.49132657,,,,,,,,,,,0,0,0,0,0,0,711217.75,0,790636.06,0,
218,277.9718691931811,0.49147314,,,,,,,,,,,0,5435327.0,0,0,0,0,0,0,0,0,
219,172.9773023623265,0.49407974,,,,,,,,,,,2843262.2,2934344.0,3096662.5,5226050.5,5735694.5,5973057.5,5830049.5,3035815.0,2.1650418E7,2.4380334E7,
220,182.0293616002212,0.49415603,,,,,,,,,,,7516649.5,6560996.5,8437882.0,9922514.0,1.130887E7,1.0825593E7,1.0810216E7,5111719.5,1.4280331E7,1.573393E7,
221,186.00887274176432,0.4947971,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1375841.0,
222,281.9174877248879,0.4949172,,,,,,,,,,,0,0,0,0,0,0,0,0,2683139.8,2536096.8,
223,167.01756820481285,0.4950726,,,,,,,,,,,0,0,0,0,1187197.4,0,1158111.9,0,0,0,
224,144.9977251908777,0.49665695,,,,,,,,,,,0,0,0,0,1469460.4,1479597.8,1446395.5,0,1317460.1,1537246.1,
225,214.00352534153996,0.49907547,,,,,,,,,,,1409029.2,1711955.0,1592929.1,0,0,2772329.5,0,4253730.0,1.0058896E7,1.1512408E7,
226,154.99047567342132,0.4993905,,,,,,,,,,,0,4574381.0,2296456.2,0,0,0,0,5401718.5,0,0,
227,128.9510551383831,0.500469,,,,,,,,,,,0,1110252.8,0,1420422.8,1517273.0,1585399.9,1596872.4,2099116.8,0,0,
228,266.94603020049055,0.50091696,,,,,,,,,,,0,0,0,1192300.1,0,0,0,0,1125282.6,0,
